"nivel";"nome";"creditos";"carga_horaria"
"1";"Cálculo I";"4";"60"
"1";"Desenho Técnico";"4";"60"
"1";"Introdução a Engenharia Elétrica/ Controle";"2";"30"
"1";"Mecânica Newtoniana";"6";"90"
"1";"Química Geral";"4";"60"
"2";"Circuitos Logicos I";"4";"60"
"2";"Cálculo II";"4";"60"
"2";"Integração Hardware/ Software I";"4";"60"
"2";"Laboratorio de Circuitos Logicos I";"2";"30"
"2";"Termodinâmica e Ondas";"6";"90"
"2";"Álgebra Linear e Geometria Analítica";"4";"60"
"3";"Circuitos Logicos II";"4";"60"
"3";"Cálculo III";"4";"60"
"3";"Eletromagnetismo e Física Moderna";"6";"90"
"3";"Integração Hardware/ Software II";"4";"60"
"3";"Laboratorio de Circuitos Logicos II";"2";"30"
"3";"Probabilidade e Estatística";"4";"60"
"4";"Análise de Circuitos I";"4";"60"
"4";"Cálculo IV";"4";"60"
"4";"Integração Hardware/Software III";"4";"60"
"4";"Laboratorio de Circuitos I";"2";"30"
"4";"Matemática Aplicada";"4";"60"
"4";"Materiais Elétricos";"2";"30"
"4";"Mecanica dos Solidos";"2";"30"
"5";"Análise de Circuitos II";"4";"60"
"5";"Circuitos Eletromagneticos";"4";"60"
"5";"Engenharia Ambiental I";"2";"30"
"5";"Fenomenos de Transportes";"2";"30"
"5";"Introducao A Dispositivos Eletronicos";"4";"60"
"5";"Laboratorio de Circuitos II";"2";"30"
"5";"Laboratorio de Dispositivos Eletronicos";"2";"30"
"5";"Sinais e Sistemas";"4";"60"
"6";"Análise de Sistemas de Controle";"4";"60"
"6";"Conversão de Energia I";"4";"60"
"6";"Laboratório de Controle";"2";"30"
"6";"Laboratório de Processadores I";"2";"30"
"6";"Processadores I";"4";"60"
"6";"Processamento Digital de Sinais";"4";"60"
"6";"Sistemas de Comunicação";"4";"60"
"7";"Conversão de Energia II";"4";"60"
"7";"Disciplinas Eletivas";"8";"120"
"7";"Eletrônica Analógica";"4";"60"
"7";"Instrumentação e Aquisição de Sinais";"4";"60"
"7";"Laboratorio de Dsp";"2";"30"
"7";"Laboratório de Eletrônica Analógica";"2";"30"
"7";"Projeto de Sistemas de Controle";"4";"60"
"7";"Projetos Elétricos Residenciais e Comerciais";"4";"60"
"8";"Eletronica Aplicada";"4";"60"
"8";"Estaágio Supervisionado - EE (190 Hrs)";"13";"190"
"8";"Laboratorio de Eletronica Aplicada";"2";"30"
"8";"Ondas e Linhas";"4";"60"
"8";"Projetos Elétricos Industriais";"4";"60"
"8";"Sistemas Elétricos de Energia";"4";"60"
"8";"Sistemas Embarcados I";"4";"60"
"8";"Sistemas de Controle Digital";"4";"60"
"9";"Antenas e Propagação";"4";"60"
"9";"Eletrônica de Potência";"4";"60"
"9";"Geração e Proteção de Sistemas de Energia";"4";"60"
"9";"Laboratório de Eletrônica de Potência";"2";"30"
"9";"Projeto de Graduação I - Ee";"2";"30"
"9";"Projetos para Tecnologias Móveis";"2";"30"
"9";"Sistemas Embarcados II";"2";"30"
"9";"Ética e Cidadania";"4";"60"
"10";"Atividades Complementares (120 Horas)";"8";"120"
"10";"Automação Industrial Clássica";"4";"60"
"10";"Distribuição e Transmissão de Energia Elétrica";"4";"60"
"10";"Engenharia Econômica";"2";"30"
"10";"Engenharia e Segurança do Trabalho";"2";"30"
"10";"Humanismo e Cultura Religiosa";"4";"60"
"10";"Microeletrônica & Projetos de Sistemas Integrados";"4";"60"
"10";"Projeto de Graduação II - Ee";"2";"30"
"10";"Sistemas de Planejamento e Custos para Engenharia";"2";"30"
