nome;uf
Abadia de Goiás;GO
Abadia dos Dourados;MG
Abadiânia;GO
Abaeté;MG
Abaetetuba;PA
Abaiara;CE
Abaíra;BA
Abaré;BA
Abatiá;PR
Abdon Batista;SC
Abel Figueiredo;PA
Aberlardo Luz;SC
Abre Campo;MG
Abreu e Lima;PE
Abreulândia;TO
Acaiaca;MG
Açailândia;MA
Acajutiba;BA
Acará;PA
Acarapé;CE
Acaraú;CE
Acari;RN
Acauá;PI
Acegua;RS
Acopiara;CE
Acorizal;MT
Acrelândia;AC
Acreúna;GO
Açucena;MG
Açu;RN
Adamantina;SP
Adelândia;GO
Adolfo;SP
Adrianópolis;PR
Adustina;BA
Afogados da Ingazeira;PE
Afonso Bezerra;RN
Afonso Cláudio;ES
Afonso Cunha;MA
Afrânio;PE
Afuá;PA
Agrestina;PE
Agricolândia;PI
Agrolândia;SC
Agronômica;SC
Água Azul do Norte;PA
Água Boa;MG
Água Boa;MT
Água Branca;AL
Água Branca;PB
Água Branca;PI
Água Clara;MS
Água Comprida;MG
Água Doce do Norte;ES
Água Doce;MA
Água Doce;SC
Água Fria;BA
Água Fria de Goiás;GO
Aguaí;SP
Água Limpa;GO
Aguanil;MG
Água Nova;RN
Água Preta;PE
Água Santa;RS
Águas Belas;PE
Águas da Prata;SP
Águas de Chapecó;SC
Águas de Lindóia;SP
Águas de Santa Bárbara;SP
Águas de São Pedro;SP
Águas Formosas;MG
Águas Frias;SC
Águas Lindas;GO
Águas Mornas;SC
Águas Vermelhas;MG
Agudo;RS
Agudos do Sul;PR
Agudos;SP
Águia Branca;ES
Aguiarnópolis;TO
Aguiar;PB
Aimorés;MG
Aiquara;BA
Aiuaba;CE
Aiuruoca;MG
Ajuricaba;RS
Alagoa Grande;PB
Alagoa;MG
Alagoa Nova;PB
Alagoinha;PB
Alagoinha;PE
Alagoinha;PI
Alagoinhas;BA
Alambari;SP
Albertina;MG
Alcântara;MA
Alcântaras;CE
Alcantil;PB
Alcinópolis;MS
Alcobaça;BA
Aldeias Altas;MA
Alecrim;RS
Alegre;ES
Alegrete do Piauí;PI
Alegrete;RS
Alegria;RS
Além Paraíba;MG
Alenquer;PA
Alexandria;RN
Alexânia;GO
Alfenas;MG
Alfredo Chaves;ES
Alfredo Marcondes;SP
Alfredo Vasconcelos;MG
Alfredo Wagner;SC
Algodão de Jandaira;PB
Alhandra;PB
Aliança do Tocantins;TO
Aliança;PE
Almadina;BA
Almas;TO
Almenara;MG
Almerim;PA
Almino Afonso;RN
Almirante Tamandaré do Sul;RS
Almirante Tamandaré;PR
Aloândia;GO
Alpercata;MG
Alpestre;RS
Alpinópolis;MG
Alta Floresta DOeste;RO
Alta Floresta;MT
Altair;SP
Altamira do Maranhão;MA
Altamira do Paraná;PR
Altamira;PA
Altaneira;CE
Alterosa;MG
Altinho;PE
Altinópolis;SP
Alto Alegre do Maranhão;MA
Alto Alegre do Pindaré;MA
Alto Alegre dos Parecís;RO
Alto Alegre;RR
Alto Alegre;RS
Alto Alegre;SP
Alto Araguaia;MT
Alto Bela Vista;SC
Alto Caparó;MG
Alto da Boa Vista;MT
Alto do Rodrigues;RN
Alto Feliz;RS
Alto Garças;MT
Alto Horizonte;GO
Alto Jequitibá;MG
Alto Longá;PI
Altônia;PR
Alto Paraguai;MT
Alto Paraíso de Goiás;GO
Alto Paraíso;RO
Alto Paraná;PR
Alto Parnaíba;MA
Alto Piquiri;PR
Alto Rio Doce;MG
Alto Rio Novo;ES
Alto Santo;CE
Altos;PI
Alto Taquari;MT
Alumínio;SP
Alvarães;AM
Alvarenga;MG
Álvares Florence;SP
Álvares Machado;SP
Álvaro de Carvalho;SP
Alvinlândia;SP
